canonical_id	status	collection_path	pdf_path	txt_path	pdf_bytes	txt_chars	text_extractor	pdf_sha256	source_url	label	page_url	error
AN 4.45	TEXT_EXTRACTED	anguttara-nikaya	anguttara-nikaya/an04-45/an04-45.pdf	anguttara-nikaya/an04-45/an04-45.txt	158323	3750	pymupdf	b25bb6e5f42ea79ddbd23f50b1eee92856a1fb9efba272e9d5a779e8ae49095e	https://www.mindreleased.com/s/AN-445-Pahama-Rohitassa-Sutta.pdf	Paṭhama Rohitassa Sutta (To Rohitassa: Son of the Gods - Part 1) AN 4.45	https://www.mindreleased.com/pali-suttas	
SN 46.14	TEXT_EXTRACTED	samyutta-nikaya	samyutta-nikaya/sn46-14/sn46-14.pdf	samyutta-nikaya/sn46-14/sn46-14.txt	193877	4014	pymupdf	fe3da5008e04ce92e20dacb238f512a468608b821e8c954cc2dbf36b01d2e495	https://www.mindreleased.com/s/SN-4614-Kassapa-Bojjhaga-Sutta.pdf	Kassapa Bojjhaṅga Sutta (Kassapa & the Seven Factors of Awakening) SN 46.14	https://www.mindreleased.com/pali-suttas	
SN 41.1	TEXT_EXTRACTED	samyutta-nikaya	samyutta-nikaya/sn41-01/sn41-01.pdf	samyutta-nikaya/sn41-01/sn41-01.txt	188549	4445	pymupdf	57e9ddaf1cb94dc6fcd614999617964cd3fc42b77a000c1bee0699cce64d23ad	https://www.mindreleased.com/s/SN-41-1-Sayojana-Sutta-9c96.pdf	Saṃyojana Sutta (Discourse on the Fetters) SN 41.1	https://www.mindreleased.com/pali-suttas	
AN 5.28	TEXT_EXTRACTED	anguttara-nikaya	anguttara-nikaya/an05-28/an05-28.pdf	anguttara-nikaya/an05-28/an05-28.txt	167267	13717	pymupdf	daeeb8f4e7a06cf1a7d8842d991ed201d5a65cf1b393036abcd8f00df70eed6c	https://www.mindreleased.com/s/AN-528-Pacagika-Sutta.pdf	Pañcaṅgika Sutta (Discourse on the Five-Factored) AN 5.28	https://www.mindreleased.com/pali-suttas	
MN 128	TEXT_EXTRACTED	majjhima-nikaya	majjhima-nikaya/mn128/mn128.pdf	majjhima-nikaya/mn128/mn128.txt	212735	29915	pymupdf	d65a247ccfe45d37cc5fdaf72c3c939a6b64a437d681a8bd9d5864bef32e2c7e	https://www.mindreleased.com/s/MN-128-Upakkilesa-Sutta.pdf	Upakkilesa Sutta (Discourse on the Deceptions in the Mind) MN 128	https://www.mindreleased.com/pali-suttas	
AN 10.177	TEXT_EXTRACTED	anguttara-nikaya	anguttara-nikaya/an10-177/an10-177.pdf	anguttara-nikaya/an10-177/an10-177.txt	148409	14340	pymupdf	dc285f42ceeee135ce9ed77e92970f08cdcf7a6f481156ef5866fd2511216a29	https://www.mindreleased.com/s/AN-10177-Jussoi-Sutta.pdf	Jāṇussoṇi Sutta (Discourse to Jāṇussoṇi: “So, Who’s Getting All the Merits?”) AN 10.177	https://www.mindreleased.com/pali-suttas	
MN 31	TEXT_EXTRACTED	majjhima-nikaya	majjhima-nikaya/mn31/mn31.pdf	majjhima-nikaya/mn31/mn31.txt	184445	19367	pymupdf	56a7c136741679d349d1095dd5a85037a4b4fb275d093e2bb8818c8b4b69550f	https://www.mindreleased.com/s/MN-31-Culagosinga-Sutta.pdf	Culagosinga Sutta (The Shorter Discourse in Gosinga) MN 31	https://www.mindreleased.com/pali-suttas	
AN 6.61	TEXT_EXTRACTED	anguttara-nikaya	anguttara-nikaya/an06-61/an06-61.pdf	anguttara-nikaya/an06-61/an06-61.txt	147810	6101	pymupdf	97f980222217f46e430a7116b535e5e7f4a075b7b93d3e66b2f7a4e22d903d46	https://www.mindreleased.com/s/AN-661-Majjhe-Sutta.pdf	Majjhe Sutta (Discourse on “the Middle,” aka “The Seamstress”) AN 6.61	https://www.mindreleased.com/pali-suttas	
Snp 2.1	TEXT_EXTRACTED	khuddaka-nikaya/sutta-nipata	khuddaka-nikaya/sutta-nipata/snp02-01/snp02-01.pdf	khuddaka-nikaya/sutta-nipata/snp02-01/snp02-01.txt	138778	4940	pymupdf	8443730fb1b7603e36f6a78d345d7bd0803818de980cc507233fff38376abfb4	https://www.mindreleased.com/s/Sn-21-Ratana-Sutta.pdf	Ratana Sutta (The Jewel Discourse) Snp 2.1	https://www.mindreleased.com/pali-suttas	
AN 6.58	TEXT_EXTRACTED	anguttara-nikaya	anguttara-nikaya/an06-58/an06-58.pdf	anguttara-nikaya/an06-58/an06-58.txt	162400	11075	pymupdf	9891cd440d472f7d0bd35a1f33bcb5381d80c03dd654ab0d7091d38f6d836159	https://www.mindreleased.com/s/AN-658-sava-Sutta.pdf	Āsava Sutta (Mental Contaminants) AN 6.58	https://www.mindreleased.com/pali-suttas	
